143	4.27e-04	3.39e-01
144	4.27e-04	3.38e-01
145	4.27e-04	3.37e-01
146	4.27e-04	3.36e-01
147	4.27e-04	3.36e-01
148	4.27e-04	3.35e-01
149	4.27e-04	3.34e-01
150	4.27e-04	3.33e-01
151	4.27e-04	3.33e-01
152	4.27e-04	3.32e-01
153	4.27e-04	3.31e-01
154	4.27e-04	3.31e-01
155	4.27e-04	3.30e-01
156	4.27e-04	3.29e-01
157	4.27e-04	3.29e-01
158	4.27e-04	3.28e-01
159	4.27e-04	3.27e-01
160	4.27e-04	3.27e-01
161	4.27e-04	3.26e-01
162	4.27e-04	3.25e-01
163	4.27e-04	3.25e-01
164	4.27e-04	3.24e-01
165	4.27e-04	3.23e-01
166	4.27e-04	3.23e-01
167	4.28e-04	3.22e-01
168	4.28e-04	3.22e-01
169	4.28e-04	3.21e-01
170	4.28e-04	3.20e-01
171	4.28e-04	3.20e-01
172	4.28e-04	3.19e-01
173	4.28e-04	3.19e-01
174	4.28e-04	3.18e-01
175	4.28e-04	3.18e-01
176	4.28e-04	3.17e-01
177	4.28e-04	3.17e-01
178	4.28e-04	3.16e-01
179	4.28e-04	3.16e-01
180	4.28e-04	3.15e-01
181	4.28e-04	3.15e-01
182	4.28e-04	3.14e-01
183	4.28e-04	3.14e-01
184	4.28e-04	3.13e-01
185	4.28e-04	3.13e-01
186	4.28e-04	3.12e-01
187	4.28e-04	3.12e-01
188	4.28e-04	3.11e-01
189	4.28e-04	3.11e-01
190	4.28e-04	3.10e-01
191	4.28e-04	3.10e-01
192	4.28e-04	3.09e-01
193	4.28e-04	3.09e-01
194	4.28e-04	3.08e-01
195	4.28e-04	3.08e-01
196	4.28e-04	3.07e-01
197	4.28e-04	3.07e-01
198	4.28e-04	3.06e-01
199	4.28e-04	3.06e-01
200	4.28e-04	3.06e-01
201	4.28e-04	3.05e-01
202	4.28e-04	3.05e-01
203	4.28e-04	3.04e-01
204	4.28e-04	3.04e-01
205	4.28e-04	3.03e-01
206	4.28e-04	3.03e-01
207	4.28e-04	3.02e-01
208	4.28e-04	3.02e-01
209	4.28e-04	3.02e-01
210	4.28e-04	3.01e-01
211	4.28e-04	3.01e-01
212	4.28e-04	3.00e-01
213	4.28e-04	3.00e-01
214	4.28e-04	3.00e-01
215	4.29e-04	2.99e-01
216	4.29e-04	2.99e-01
217	4.29e-04	2.98e-01
218	4.29e-04	2.98e-01
219	4.29e-04	2.98e-01
220	4.29e-04	2.97e-01
221	4.29e-04	2.97e-01
222	4.29e-04	2.96e-01
223	4.29e-04	2.96e-01
224	4.29e-04	2.96e-01
225	4.29e-04	2.95e-01
226	4.29e-04	2.95e-01
227	4.29e-04	2.94e-01
228	4.29e-04	2.94e-01
229	4.29e-04	2.94e-01
230	4.29e-04	2.93e-01
231	4.29e-04	2.93e-01
232	4.29e-04	2.93e-01
233	4.29e-04	2.92e-01
234	4.29e-04	2.92e-01
235	4.29e-04	2.92e-01
236	4.29e-04	2.91e-01
237	4.29e-04	2.91e-01
238	4.29e-04	2.90e-01
239	4.29e-04	2.90e-01
240	4.29e-04	2.90e-01
241	4.29e-04	2.89e-01
242	4.29e-04	2.89e-01
243	4.29e-04	2.89e-01
244	4.29e-04	2.88e-01
245	4.29e-04	2.88e-01
246	4.29e-04	2.88e-01
247	4.29e-04	2.87e-01
248	4.29e-04	2.87e-01
249	4.29e-04	2.87e-01
250	4.29e-04	2.86e-01
251	4.29e-04	2.86e-01
252	4.29e-04	2.85e-01
253	4.29e-04	2.85e-01
254	4.29e-04	2.85e-01
255	4.29e-04	2.84e-01
256	4.29e-04	2.84e-01
257	4.29e-04	2.84e-01
258	4.29e-04	2.83e-01
259	4.29e-04	2.83e-01
260	4.29e-04	2.83e-01
261	4.29e-04	2.82e-01
262	4.29e-04	2.82e-01
263	4.29e-04	2.82e-01
264	4.29e-04	2.81e-01
265	4.29e-04	2.81e-01
266	4.29e-04	2.81e-01
267	4.30e-04	2.80e-01
268	4.30e-04	2.80e-01
269	4.30e-04	2.80e-01
270	4.30e-04	2.79e-01
271	4.30e-04	2.79e-01
272	4.30e-04	2.79e-01
273	4.30e-04	2.79e-01
274	4.30e-04	2.78e-01
275	4.30e-04	2.78e-01
276	4.30e-04	2.78e-01
277	4.30e-04	2.77e-01
278	4.30e-04	2.77e-01
279	4.30e-04	2.77e-01
280	4.30e-04	2.76e-01
281	4.30e-04	2.76e-01
282	4.30e-04	2.76e-01
283	4.30e-04	2.75e-01
284	4.30e-04	2.75e-01
285	4.30e-04	2.75e-01
286	4.30e-04	2.74e-01
287	4.30e-04	2.74e-01
288	4.30e-04	2.74e-01
289	4.30e-04	2.74e-01
290	4.30e-04	2.73e-01
291	4.30e-04	2.73e-01
292	4.30e-04	2.73e-01
293	4.30e-04	2.72e-01
294	4.30e-04	2.72e-01
295	4.30e-04	2.72e-01
296	4.30e-04	2.71e-01
297	4.30e-04	2.71e-01
298	4.30e-04	2.71e-01
299	4.30e-04	2.70e-01
300	4.30e-04	2.70e-01
301	4.30e-04	2.70e-01
302	4.30e-04	2.70e-01
303	4.30e-04	2.69e-01
304	4.30e-04	2.69e-01
305	4.30e-04	2.69e-01
306	4.30e-04	2.68e-01
307	4.30e-04	2.68e-01
308	4.30e-04	2.68e-01
309	4.30e-04	2.68e-01
310	4.30e-04	2.67e-01
311	4.30e-04	2.67e-01
312	4.30e-04	2.67e-01
313	4.30e-04	2.66e-01
314	4.30e-04	2.66e-01
315	4.30e-04	2.66e-01
316	4.30e-04	2.65e-01
317	4.30e-04	2.65e-01
318	4.30e-04	2.65e-01
319	4.30e-04	2.65e-01
320	4.30e-04	2.64e-01
321	4.30e-04	2.64e-01
322	4.30e-04	2.64e-01
323	4.31e-04	2.63e-01
324	4.31e-04	2.63e-01
325	4.31e-04	2.63e-01
326	4.31e-04	2.63e-01
327	4.31e-04	2.62e-01
328	4.31e-04	2.62e-01
329	4.31e-04	2.62e-01
330	4.31e-04	2.62e-01
331	4.31e-04	2.61e-01
332	4.31e-04	2.61e-01
333	4.31e-04	2.61e-01
334	4.31e-04	2.60e-01
335	4.31e-04	2.60e-01
336	4.31e-04	2.60e-01
337	4.31e-04	2.60e-01
338	4.31e-04	2.59e-01
339	4.31e-04	2.59e-01
340	4.31e-04	2.59e-01
341	4.31e-04	2.58e-01
342	4.31e-04	2.58e-01
343	4.31e-04	2.58e-01
344	4.31e-04	2.58e-01
345	4.31e-04	2.57e-01
346	4.31e-04	2.57e-01
347	4.31e-04	2.57e-01
348	4.31e-04	2.57e-01
349	4.31e-04	2.56e-01
350	4.31e-04	2.56e-01
351	4.31e-04	2.56e-01
352	4.31e-04	2.55e-01
353	4.31e-04	2.55e-01
354	4.31e-04	2.55e-01
355	4.31e-04	2.55e-01
356	4.31e-04	2.54e-01
357	4.31e-04	2.54e-01
358	4.31e-04	2.54e-01
359	4.31e-04	2.54e-01
360	4.31e-04	2.53e-01
361	4.31e-04	2.53e-01
362	4.31e-04	2.53e-01
363	4.31e-04	2.53e-01
364	4.31e-04	2.52e-01
365	4.31e-04	2.52e-01
366	4.31e-04	2.52e-01
367	4.31e-04	2.52e-01
368	4.31e-04	2.51e-01
369	4.31e-04	2.51e-01
370	4.31e-04	2.51e-01
371	4.31e-04	2.51e-01
372	4.31e-04	2.50e-01
373	4.31e-04	2.50e-01
374	4.31e-04	2.50e-01
375	4.31e-04	2.49e-01
376	4.31e-04	2.49e-01
377	4.31e-04	2.49e-01
378	4.31e-04	2.49e-01
379	4.31e-04	2.48e-01
380	4.31e-04	2.48e-01
381	4.31e-04	2.48e-01
382	4.31e-04	2.48e-01
383	4.31e-04	2.47e-01
384	4.32e-04	2.47e-01
385	4.32e-04	2.47e-01
386	4.32e-04	2.47e-01
387	4.32e-04	2.46e-01
388	4.32e-04	2.46e-01
389	4.32e-04	2.46e-01
390	4.32e-04	2.46e-01
391	4.32e-04	2.45e-01
392	4.32e-04	2.45e-01
393	4.32e-04	2.45e-01
394	4.32e-04	2.45e-01
395	4.32e-04	2.44e-01
396	4.32e-04	2.44e-01
397	4.32e-04	2.44e-01
398	4.32e-04	2.44e-01
399	4.32e-04	2.43e-01
400	4.32e-04	2.43e-01
401	4.32e-04	2.43e-01
402	4.32e-04	2.43e-01
403	4.32e-04	2.43e-01
404	4.32e-04	2.42e-01
405	4.32e-04	2.42e-01
406	4.32e-04	2.42e-01
407	4.32e-04	2.42e-01
408	4.32e-04	2.41e-01
409	4.32e-04	2.41e-01
410	4.32e-04	2.41e-01
411	4.32e-04	2.41e-01
412	4.32e-04	2.40e-01
413	4.32e-04	2.40e-01
414	4.32e-04	2.40e-01
415	4.32e-04	2.40e-01
416	4.32e-04	2.39e-01
417	4.32e-04	2.39e-01
418	4.32e-04	2.39e-01
419	4.32e-04	2.39e-01
420	4.32e-04	2.38e-01
421	4.32e-04	2.38e-01
422	4.32e-04	2.38e-01
423	4.32e-04	2.38e-01
424	4.32e-04	2.38e-01
425	4.32e-04	2.37e-01
426	4.32e-04	2.37e-01
427	4.32e-04	2.37e-01
428	4.32e-04	2.37e-01
429	4.32e-04	2.36e-01
430	4.32e-04	2.36e-01
431	4.32e-04	2.36e-01
432	4.32e-04	2.36e-01
433	4.32e-04	2.35e-01
434	4.32e-04	2.35e-01
435	4.32e-04	2.35e-01
436	4.32e-04	2.35e-01
437	4.32e-04	2.35e-01
438	4.32e-04	2.34e-01
439	4.32e-04	2.34e-01
440	4.32e-04	2.34e-01
441	4.32e-04	2.34e-01
442	4.32e-04	2.33e-01
443	4.32e-04	2.33e-01
444	4.32e-04	2.33e-01
445	4.32e-04	2.33e-01
446	4.32e-04	2.32e-01
447	4.32e-04	2.32e-01
448	4.32e-04	2.32e-01
449	4.33e-04	2.32e-01
450	4.33e-04	2.32e-01
451	4.33e-04	2.31e-01
452	4.33e-04	2.31e-01
453	4.33e-04	2.31e-01
454	4.33e-04	2.31e-01
455	4.33e-04	2.30e-01
456	4.33e-04	2.30e-01
457	4.33e-04	2.30e-01
458	4.33e-04	2.30e-01
459	4.33e-04	2.30e-01
460	4.33e-04	2.29e-01
461	4.33e-04	2.29e-01
462	4.33e-04	2.29e-01
463	4.33e-04	2.29e-01
464	4.33e-04	2.28e-01
465	4.33e-04	2.28e-01
466	4.33e-04	2.28e-01
467	4.33e-04	2.28e-01
468	4.33e-04	2.28e-01
469	4.33e-04	2.27e-01
470	4.33e-04	2.27e-01
471	4.33e-04	2.27e-01
472	4.33e-04	2.27e-01
473	4.33e-04	2.27e-01
474	4.33e-04	2.26e-01
475	4.33e-04	2.26e-01
476	4.33e-04	2.26e-01
477	4.33e-04	2.26e-01
478	4.33e-04	2.25e-01
479	4.33e-04	2.25e-01
480	4.33e-04	2.25e-01
481	4.33e-04	2.25e-01
482	4.33e-04	2.25e-01
483	4.33e-04	2.24e-01
484	4.33e-04	2.24e-01
485	4.33e-04	2.24e-01
486	4.33e-04	2.24e-01
487	4.33e-04	2.24e-01
488	4.33e-04	2.23e-01
489	4.33e-04	2.23e-01
490	4.33e-04	2.23e-01
491	4.33e-04	2.23e-01
492	4.33e-04	2.23e-01
493	4.33e-04	2.22e-01
494	4.33e-04	2.22e-01
495	4.33e-04	2.22e-01
496	4.33e-04	2.22e-01
497	4.33e-04	2.21e-01
498	4.33e-04	2.21e-01
499	4.33e-04	2.21e-01
500	4.33e-04	2.21e-01
501	4.33e-04	2.21e-01
502	4.33e-04	2.20e-01
503	4.33e-04	2.20e-01
504	4.33e-04	2.20e-01
505	4.33e-04	2.20e-01
506	4.33e-04	2.20e-01
507	4.33e-04	2.19e-01
508	4.33e-04	2.19e-01
509	4.33e-04	2.19e-01
510	4.33e-04	2.19e-01
511	4.33e-04	2.19e-01
512	4.33e-04	2.18e-01
513	4.33e-04	2.18e-01
514	4.33e-04	2.18e-01
515	4.33e-04	2.18e-01
516	4.33e-04	2.18e-01
517	4.33e-04	2.17e-01
518	4.33e-04	2.17e-01
519	4.33e-04	2.17e-01
520	4.34e-04	2.17e-01
521	4.34e-04	2.17e-01
522	4.34e-04	2.16e-01
523	4.34e-04	2.16e-01
524	4.34e-04	2.16e-01
525	4.34e-04	2.16e-01
526	4.34e-04	2.16e-01
527	4.34e-04	2.15e-01
528	4.34e-04	2.15e-01
529	4.34e-04	2.15e-01
530	4.34e-04	2.15e-01
531	4.34e-04	2.15e-01
532	4.34e-04	2.14e-01
533	4.34e-04	2.14e-01
534	4.34e-04	2.14e-01
535	4.34e-04	2.14e-01
536	4.34e-04	2.14e-01
537	4.34e-04	2.14e-01
538	4.34e-04	2.13e-01
539	4.34e-04	2.13e-01
540	4.34e-04	2.13e-01
541	4.34e-04	2.13e-01
542	4.34e-04	2.13e-01
543	4.34e-04	2.12e-01
544	4.34e-04	2.12e-01
545	4.34e-04	2.12e-01
546	4.34e-04	2.12e-01
547	4.34e-04	2.12e-01
548	4.34e-04	2.11e-01
549	4.34e-04	2.11e-01
550	4.34e-04	2.11e-01
551	4.34e-04	2.11e-01
552	4.34e-04	2.11e-01
553	4.34e-04	2.10e-01
554	4.34e-04	2.10e-01
555	4.34e-04	2.10e-01
556	4.34e-04	2.10e-01
557	4.34e-04	2.10e-01
558	4.34e-04	2.10e-01
559	4.34e-04	2.09e-01
560	4.34e-04	2.09e-01
561	4.34e-04	2.09e-01
562	4.34e-04	2.09e-01
563	4.34e-04	2.09e-01
564	4.34e-04	2.08e-01
565	4.34e-04	2.08e-01
566	4.34e-04	2.08e-01
567	4.34e-04	2.08e-01
568	4.34e-04	2.08e-01
569	4.34e-04	2.08e-01
570	4.34e-04	2.07e-01
571	4.34e-04	2.07e-01
572	4.34e-04	2.07e-01
573	4.34e-04	2.07e-01
574	4.34e-04	2.07e-01
575	4.34e-04	2.06e-01
576	4.34e-04	2.06e-01
577	4.34e-04	2.06e-01
578	4.34e-04	2.06e-01
579	4.34e-04	2.06e-01
580	4.34e-04	2.06e-01
581	4.34e-04	2.05e-01
582	4.34e-04	2.05e-01
583	4.34e-04	2.05e-01
584	4.34e-04	2.05e-01
585	4.34e-04	2.05e-01
586	4.34e-04	2.04e-01
587	4.34e-04	2.04e-01
588	4.34e-04	2.04e-01
589	4.34e-04	2.04e-01
590	4.34e-04	2.04e-01
591	4.34e-04	2.04e-01
592	4.34e-04	2.03e-01
593	4.34e-04	2.03e-01
594	4.34e-04	2.03e-01
595	4.34e-04	2.03e-01
596	4.35e-04	2.03e-01
597	4.35e-04	2.02e-01
598	4.35e-04	2.02e-01
599	4.35e-04	2.02e-01
600	4.35e-04	2.02e-01
601	4.35e-04	2.02e-01
602	4.35e-04	2.02e-01
603	4.35e-04	2.01e-01
604	4.35e-04	2.01e-01
605	4.35e-04	2.01e-01
606	4.35e-04	2.01e-01
607	4.35e-04	2.01e-01
608	4.35e-04	2.01e-01
609	4.35e-04	2.00e-01
610	4.35e-04	2.00e-01
611	4.35e-04	2.00e-01
612	4.35e-04	2.00e-01
613	4.35e-04	2.00e-01
614	4.35e-04	2.00e-01
615	4.35e-04	1.99e-01
616	4.35e-04	1.99e-01
617	4.35e-04	1.99e-01
618	4.35e-04	1.99e-01
619	4.35e-04	1.99e-01
620	4.35e-04	1.99e-01
621	4.35e-04	1.98e-01
622	4.35e-04	1.98e-01
623	4.35e-04	1.98e-01
624	4.35e-04	1.98e-01
625	4.35e-04	1.98e-01
626	4.35e-04	1.98e-01
627	4.35e-04	1.97e-01
628	4.35e-04	1.97e-01
629	4.35e-04	1.97e-01
630	4.35e-04	1.97e-01
631	4.35e-04	1.97e-01
632	4.35e-04	1.97e-01
633	4.35e-04	1.96e-01
634	4.35e-04	1.96e-01
635	4.35e-04	1.96e-01
636	4.35e-04	1.96e-01
637	4.35e-04	1.96e-01
638	4.35e-04	1.96e-01
639	4.35e-04	1.95e-01
640	4.35e-04	1.95e-01
641	4.35e-04	1.95e-01
642	4.35e-04	1.95e-01
643	4.35e-04	1.95e-01
644	4.35e-04	1.95e-01
645	4.35e-04	1.94e-01
646	4.35e-04	1.94e-01
647	4.35e-04	1.94e-01
648	4.35e-04	1.94e-01
649	4.35e-04	1.94e-01
650	4.35e-04	1.94e-01
651	4.35e-04	1.93e-01
652	4.35e-04	1.93e-01
653	4.35e-04	1.93e-01
654	4.35e-04	1.93e-01
655	4.35e-04	1.93e-01
656	4.35e-04	1.93e-01
657	4.35e-04	1.92e-01
658	4.35e-04	1.92e-01
659	4.35e-04	1.92e-01
660	4.35e-04	1.92e-01
661	4.35e-04	1.92e-01
662	4.35e-04	1.92e-01
663	4.35e-04	1.91e-01
664	4.35e-04	1.91e-01
665	4.35e-04	1.91e-01
666	4.35e-04	1.91e-01
667	4.35e-04	1.91e-01
668	4.35e-04	1.91e-01
669	4.35e-04	1.91e-01
670	4.35e-04	1.90e-01
671	4.35e-04	1.90e-01
672	4.35e-04	1.90e-01
673	4.35e-04	1.90e-01
674	4.35e-04	1.90e-01
675	4.35e-04	1.90e-01
676	4.35e-04	1.89e-01
677	4.35e-04	1.89e-01
678	4.35e-04	1.89e-01
679	4.35e-04	1.89e-01
680	4.35e-04	1.89e-01
681	4.36e-04	1.89e-01
682	4.36e-04	1.89e-01
683	4.36e-04	1.88e-01
684	4.36e-04	1.88e-01
685	4.36e-04	1.88e-01
686	4.36e-04	1.88e-01
687	4.36e-04	1.88e-01
688	4.36e-04	1.88e-01
689	4.36e-04	1.87e-01
690	4.36e-04	1.87e-01
691	4.36e-04	1.87e-01
692	4.36e-04	1.87e-01
693	4.36e-04	1.87e-01
694	4.36e-04	1.87e-01
695	4.36e-04	1.87e-01
696	4.36e-04	1.86e-01
697	4.36e-04	1.86e-01
698	4.36e-04	1.86e-01
699	4.36e-04	1.86e-01
700	4.36e-04	1.86e-01
701	4.36e-04	1.86e-01
702	4.36e-04	1.85e-01
703	4.36e-04	1.85e-01
704	4.36e-04	1.85e-01
705	4.36e-04	1.85e-01
706	4.36e-04	1.85e-01
707	4.36e-04	1.85e-01
708	4.36e-04	1.85e-01
709	4.36e-04	1.84e-01
710	4.36e-04	1.84e-01
711	4.36e-04	1.84e-01
712	4.36e-04	1.84e-01
713	4.36e-04	1.84e-01
714	4.36e-04	1.84e-01
715	4.36e-04	1.84e-01
716	4.36e-04	1.83e-01
717	4.36e-04	1.83e-01
718	4.36e-04	1.83e-01
719	4.36e-04	1.83e-01
720	4.36e-04	1.83e-01
721	4.36e-04	1.83e-01
722	4.36e-04	1.83e-01
723	4.36e-04	1.82e-01
724	4.36e-04	1.82e-01
725	4.36e-04	1.82e-01
726	4.36e-04	1.82e-01
727	4.36e-04	1.82e-01
728	4.36e-04	1.82e-01
729	4.36e-04	1.82e-01
730	4.36e-04	1.81e-01
731	4.36e-04	1.81e-01
732	4.36e-04	1.81e-01
733	4.36e-04	1.81e-01
734	4.36e-04	1.81e-01
735	4.36e-04	1.81e-01
736	4.36e-04	1.81e-01
737	4.36e-04	1.80e-01
738	4.36e-04	1.80e-01
739	4.36e-04	1.80e-01
740	4.36e-04	1.80e-01
741	4.36e-04	1.80e-01
742	4.36e-04	1.80e-01
743	4.36e-04	1.80e-01
744	4.36e-04	1.79e-01
745	4.36e-04	1.79e-01
746	4.36e-04	1.79e-01
747	4.36e-04	1.79e-01
748	4.36e-04	1.79e-01
749	4.36e-04	1.79e-01
750	4.36e-04	1.79e-01
751	4.36e-04	1.78e-01
752	4.36e-04	1.78e-01
753	4.36e-04	1.78e-01
754	4.36e-04	1.78e-01
755	4.36e-04	1.78e-01
756	4.36e-04	1.78e-01
757	4.36e-04	1.78e-01
758	4.36e-04	1.77e-01
759	4.36e-04	1.77e-01
760	4.36e-04	1.77e-01
761	4.36e-04	1.77e-01
762	4.36e-04	1.77e-01
763	4.36e-04	1.77e-01
764	4.36e-04	1.77e-01
765	4.36e-04	1.76e-01
766	4.36e-04	1.76e-01
767	4.36e-04	1.76e-01
768	4.36e-04	1.76e-01
769	4.36e-04	1.76e-01
770	4.36e-04	1.76e-01
771	4.36e-04	1.76e-01
772	4.36e-04	1.76e-01
773	4.36e-04	1.75e-01
774	4.36e-04	1.75e-01
775	4.37e-04	1.75e-01
776	4.37e-04	1.75e-01
777	4.37e-04	1.75e-01
778	4.37e-04	1.75e-01
779	4.37e-04	1.75e-01
780	4.37e-04	1.74e-01
781	4.37e-04	1.74e-01
782	4.37e-04	1.74e-01
783	4.37e-04	1.74e-01
784	4.37e-04	1.74e-01
785	4.37e-04	1.74e-01
786	4.37e-04	1.74e-01
787	4.37e-04	1.73e-01
788	4.37e-04	1.73e-01
789	4.37e-04	1.73e-01
790	4.37e-04	1.73e-01
791	4.37e-04	1.73e-01
792	4.37e-04	1.73e-01
793	4.37e-04	1.73e-01
794	4.37e-04	1.73e-01
795	4.37e-04	1.72e-01
796	4.37e-04	1.72e-01
797	4.37e-04	1.72e-01
798	4.37e-04	1.72e-01
799	4.37e-04	1.72e-01
800	4.37e-04	1.72e-01
801	4.37e-04	1.72e-01
802	4.37e-04	1.72e-01
803	4.37e-04	1.71e-01
804	4.37e-04	1.71e-01
805	4.37e-04	1.71e-01
806	4.37e-04	1.71e-01
807	4.37e-04	1.71e-01
808	4.37e-04	1.71e-01
809	4.37e-04	1.71e-01
810	4.37e-04	1.70e-01
811	4.37e-04	1.70e-01
812	4.37e-04	1.70e-01
813	4.37e-04	1.70e-01
814	4.37e-04	1.70e-01
815	4.37e-04	1.70e-01
816	4.37e-04	1.70e-01
817	4.37e-04	1.70e-01
818	4.37e-04	1.69e-01
819	4.37e-04	1.69e-01
820	4.37e-04	1.69e-01
821	4.37e-04	1.69e-01
822	4.37e-04	1.69e-01
823	4.37e-04	1.69e-01
824	4.37e-04	1.69e-01
825	4.37e-04	1.69e-01
826	4.37e-04	1.68e-01
827	4.37e-04	1.68e-01
828	4.37e-04	1.68e-01
829	4.37e-04	1.68e-01
830	4.37e-04	1.68e-01
831	4.37e-04	1.68e-01
832	4.37e-04	1.68e-01
833	4.37e-04	1.68e-01
834	4.37e-04	1.67e-01
835	4.37e-04	1.67e-01
836	4.37e-04	1.67e-01
837	4.37e-04	1.67e-01
838	4.37e-04	1.67e-01
839	4.37e-04	1.67e-01
840	4.37e-04	1.67e-01
841	4.37e-04	1.67e-01
842	4.37e-04	1.66e-01
843	4.37e-04	1.66e-01
844	4.37e-04	1.66e-01
845	4.37e-04	1.66e-01
846	4.37e-04	1.66e-01
847	4.37e-04	1.66e-01
848	4.37e-04	1.66e-01
849	4.37e-04	1.66e-01
850	4.37e-04	1.65e-01
851	4.37e-04	1.65e-01
852	4.37e-04	1.65e-01
853	4.37e-04	1.65e-01
854	4.37e-04	1.65e-01
855	4.37e-04	1.65e-01
856	4.37e-04	1.65e-01
857	4.37e-04	1.65e-01
858	4.37e-04	1.64e-01
859	4.37e-04	1.64e-01
860	4.37e-04	1.64e-01
861	4.37e-04	1.64e-01
862	4.37e-04	1.64e-01
863	4.37e-04	1.64e-01
864	4.37e-04	1.64e-01
865	4.37e-04	1.64e-01
866	4.37e-04	1.64e-01
867	4.37e-04	1.63e-01
868	4.37e-04	1.63e-01
869	4.37e-04	1.63e-01
870	4.37e-04	1.63e-01
871	4.37e-04	1.63e-01
872	4.37e-04	1.63e-01
873	4.37e-04	1.63e-01
874	4.37e-04	1.63e-01
